stationcode,name,address,latitude,longitude,brand
2475,Metro Petroleum Bellbird,"380 Wollombi Rd, BELLBIRD NSW 2325",-32.854173,151.32464041349,Metro Fuel
2478,Ampol Foodary Beacon Hill,"176 Warringah Rd, BEACON HILL NSW 2100",-33.753807,151.2602299,Ampol Foodary
2480,Liberty Moruya,"5 Princes Hwy, MORUYA NSW 2537",-35.90459,150.081623,Liberty
2489,Shell Reddy  Express North Richmond,"75-78 Bells Line Of Road, NORTH RICHMOND NSW 2754",-33.577734,150.718917,Reddy Express
2481,Eungai Rail Petrol & Diesel,"8 Station St, EUNGAI RAIL NSW 2441",-30.850821,152.9016,Independent
2492,AP Punchbowl,"Cnr Dudley St & Punchbowl Rd, PUNCHBOWL NSW 2196",-33.923055,151.058896,Independent
2496,Speedway Mt Pritchard,"348 Elizabeth Dr, MOUNT PRITCHARD NSW 2170",-33.903154,150.896383,Speedway
2497,Shell Goonellabah,"753 Ballina Road, GOONELLABAH NSW 2480",-28.8133873,153.3391471,Shell
2498,Shell Wollongbar,"1185 Bruxner Hwy, WOLLONGBAR NSW 2477",-28.815548,153.403428,Shell
2499,SHELL WINGHAM SERVO,"24 Murray Road, WINGHAM NSW 2429",-31.8686868,152.3620177,Shell
2500,7-Eleven Kanwal,"207-209 Wallarah Rd, KANWAL NSW 2259",-33.2528645,151.4931737,7-Eleven
2502,Andys Garage Bray Park,"46-48 Kyogle Rd, BRAY PARK NSW 2484",-28.340999,153.374884,Independent
2503,BP Ulladulla,"153 Princess Highway, ULLADULLA NSW 2539",-35.362843,150.47273,BP
2603,Ampol Foodary Hamilton,"59-63 Tudor Street, HAMILTON NSW 2303",-32.924642,151.751357,Ampol Foodary
2605,U-Go Rozelle (Self - Serve),"121 Victoria Rd, ROZELLE NSW 2039",-33.862552,151.168475,U-Go
2606,Ampol Foodary Salt Ash,"2893 Nelson Bay Rd, SALT ASH NSW 2318",-32.786649,151.933639,Ampol Foodary
2608,Ampol Foodary Thornleigh,"200-202 Pennant Hills Road, THORNLEIGH NSW 2120",-33.7266,151.08363,Ampol Foodary
2610,Norris Park IGA - MOGAS,"545 Union Rd, NORTH ALBURY NSW 2640",-36.051254,146.921149,Independent
2611,Glen Artney Truck Repairs,"55-67 Armstrong St, WESTDALE NSW 2340",-31.075069,150.853261,Independent
2676,Ampol Foodary New Lambton,"148 Bridges Rd, NEW LAMBTON NSW 2305",-32.932783,151.713774,Ampol Foodary
2677,Black Stump Service Station,"119 Binnia St, COOLAH NSW 2843",-31.827424,149.715638,Shell
2679,Mobil Fuel North Haven,"Shop 1 531 Ocean Dr, NORTH HAVEN NSW 2443",-31.642115,152.810203,Mobil
2681,Ampol Cameron Park,"119 Stenhouse Dr, CAMERON PARK NSW 2285",-32.896448,151.597315,Ampol
2685,Ampol Foodary Berowra,"12-14 Berowra Waters Rd, BEROWRA NSW 2081",-33.623381,151.150554,Ampol Foodary
2687,Ampol Foodary North Richmond,"50 Bells Line of Road, NORTH RICHMOND NSW 2754",-33.579975,150.719994,Ampol Foodary
2690,Broke Village Store,"4 Wollombi St, BROKE NSW 2330",-32.750563,151.103588,Powerfuel
2693,Thora Store,"2656 Waterfall Way, THORA NSW 2454",-30.425036,152.778738,Independent
2694,Access Fuel,"10 Pacific St, CRESCENT HEAD NSW 2440",-31.189114,152.974344,Independent
2695,Mobil South Tamworth,"2 Kathleen St, SOUTH TAMWORTH NSW 2340",-31.103581,150.918599,Mobil
2696,BP Nowra,"Corner Princess Highway and Plunkett Street, NOWRA NSW 2541",-34.878761,150.604307,BP
2697,Ampol Foodary Swansea,"126 Pacific Hwy, SWANSEA NSW 2281",-33.088127,151.638255,Ampol Foodary
2707,Shell Reddy  Express Queanbeyan,"2 High Street, QUEANBEYAN EAST NSW 2620",-35.348513,149.243517,Reddy Express
2706,Ampol Foodary Narellan,"NARELLAN RD CNR MAXWELL PL, NARELLAN NSW 2567",-34.039712,150.743271,Ampol Foodary
2710,Metco Merimbula,"Cnr of Arthur Kaine Drive and Dunns Lane, MERIMBULA NSW 2548",-36.896457,149.910851,Independent
2711,BP Silverwater South,"51 Egerton St, SILVERWATER NSW 2128",-33.8363055,151.0478898,BP
2713,Ampol Foodary Punchbowl,"1285-1289 Canterbury Rd, PUNCHBOWL NSW 2196",-33.9314597,151.0596341,Ampol Foodary
2714,Speedway Cammeray,"330 Miller St, CAMMERAY NSW 2062",-33.8287134,151.2088097,Speedway
2715,Pearl Energy Wyong North,"6b 1-10 Amy Close, WYONG NSW 2259",-33.26793,151.43546,Pearl Energy
2716,Liberty Foodmart,"54 Ballina Rd, LISMORE NSW 2480",-28.8140206,153.2799107,Liberty
2875,7-Eleven Marsden Park,"861 Richmond Road, MARSDEN PARK NSW 2765",-33.718692,150.846004,7-Eleven
8282,Speedway South Granville,"171 Clyde St, SOUTH GRANVILLE NSW 2142",-33.8474647,151.0129202,Speedway
